Date,Population (P),Cumulative_cases,Cumulative_deaths
2/1/2020 0:00,10257557,14,0
2/2/2020 0:00,10257557,18,0
2/3/2020 0:00,10257557,22,0
2/4/2020 0:00,10257557,23,0
2/5/2020 0:00,10257557,23,0
2/6/2020 0:00,10257557,23,0
2/7/2020 0:00,10257557,24,0
2/8/2020 0:00,10257557,25,0
2/9/2020 0:00,10257557,28,0
2/10/2020 0:00,10257557,29,0
2/11/2020 0:00,10257557,31,0
2/12/2020 0:00,10257557,31,0
2/13/2020 0:00,10257557,32,0
2/14/2020 0:00,10257557,35,0
2/15/2020 0:00,10257557,40,0
2/16/2020 0:00,10257557,43,0
2/17/2020 0:00,10257557,48,0
2/18/2020 0:00,10257557,51,0
2/19/2020 0:00,10257557,54,0
2/20/2020 0:00,10257557,56,0
2/21/2020 0:00,10257557,57,0
2/22/2020 0:00,10257557,61,0
2/23/2020 0:00,10257557,63,0
2/24/2020 0:00,10257557,71,0
2/25/2020 0:00,10257557,77,0
2/26/2020 0:00,10257557,89,0
2/27/2020 0:00,10257557,95,0
2/28/2020 0:00,10257557,103,0
2/29/2020 0:00,10257557,111,0
3/1/2020 0:00,10257557,139,0
3/2/2020 0:00,10257557,158,0
3/3/2020 0:00,10257557,173,0
3/4/2020 0:00,10257557,192,0
3/5/2020 0:00,10257557,228,0
3/6/2020 0:00,10257557,275,0
3/7/2020 0:00,10257557,318,0
3/8/2020 0:00,10257557,369,0
3/9/2020 0:00,10257557,464,0
3/10/2020 0:00,10257557,568,0
3/11/2020 0:00,10257557,704,0
3/12/2020 0:00,10257557,877,0
3/13/2020 0:00,10257557,1041,0
3/14/2020 0:00,10257557,1198,0
3/15/2020 0:00,10257557,1380,0
3/16/2020 0:00,10257557,1628,1
3/17/2020 0:00,10257557,1866,1
3/18/2020 0:00,10257557,2075,1
3/19/2020 0:00,10257557,2320,5
3/20/2020 0:00,10257557,2610,8
